0,1,2
i need information for a flight from denver to atlanta," ""O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what is the cheapest flight from boston to atlanta," ""O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what is the cheapest flight from atlanta to pittsburgh one way," ""O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip"""," ""flight"""
show me all overnight flights from washington dc to san francisco and list their fares," ""O O O B-flight_mod O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name O O O O"""," ""flight"""
round trip flights between new york and miami," ""B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me the one way flight from detroit to westchester county with the highest fare," ""O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-cost_relative O"""," ""flight"""
what flights are there from newark to chicago on continental," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name"""," ""flight"""
i 'm trying to make a connection between denver and san francisco does delta airline fly between those two," ""O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O O O O"""," ""flight"""
what is the latest us air flight leaving philadelphia and returning to boston," ""O O O B-flight_mod B-airline_name I-airline_name O O B-fromloc.city_name O O O B-toloc.city_name"""," ""flight"""
what flights does us air have from san francisco to pittsburgh on tuesday," ""O O O B-airline_name I-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
can i fly from boston to baltimore washington," ""O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.city_name"""," ""flight"""
what is mco," ""O O B-airport_code"""," ""abbreviation"""
flights from las vegas to phoenix," ""O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i would like to leave around 7 o'clock in the morning," ""O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O O B-depart_time.period_of_day"""," ""flight"""
show me fares from baltimore to philadelphia," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
flights from memphis to seattle," ""O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-meal_description"""," ""flight"""
flights from atlanta august second," ""O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
does american airlines fly from atlanta to philadelphia," ""O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
yes i 'd like a flight from long beach to st. louis by way of dallas," ""O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name"""," ""flight"""
i 'd like to know if you have any flights from denver to philadelphia," ""O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what are the cheapest one way flights from atlanta to denver," ""O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what is the first flight after 12 noon from washington for denver," ""O O O B-flight_mod O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
how many delta flights leave from washington," ""O O B-airline_name O O O B-fromloc.city_name"""," ""quantity"""
now list for me only the united flights that flight from oakland to boston," ""O O O O O O B-airline_name O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
from philadelphia to toronto," ""O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i am interested in a flight on american airlines from dallas to washington," ""O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what airplane types fly from pittsburgh to baltimore," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""aircraft"""
what is the yn code," ""O O O B-fare_basis_code O"""," ""abbreviation"""
i would like the earliest morning flight from atlanta to philadelphia on wednesday morning," ""O O O O B-flight_mod B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
how many seats in a 100," ""O O O O O B-aircraft_code"""," ""capacity"""
may i have a listing of flights from long beach to columbus ohio on tuesday," ""O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name"""," ""flight"""
what flights leave from phoenix to nashville on american airlines," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name"""," ""flight"""
show me all round trips from new york to miami leaving on tuesday," ""O O O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name"""," ""flight"""
list all nonstop flights on sunday from tampa to charlotte," ""O O B-flight_stop O O B-arrive_date.day_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
list all flights from burbank to denver," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental," ""O O O B-round_trip I-round_trip O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time O B-airline_name"""," ""airfare"""
i 'd like to see flights from baltimore to atlanta," ""O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
please show me the flights from las vegas to detroit on the twenty eighth," ""O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number"""," ""flight"""
what is ord," ""O O B-airport_code"""," ""abbreviation"""
what type of ground transportation is available between the airport and downtown san francisco," ""O O O O O O O O O O O O B-toloc.city_name I-toloc.city_name"""," ""ground_service"""
is the american flight 813 from boston to oakland a nonstop flight," ""O O B-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name O B-flight_stop O"""," ""flight"""
give me the flights from washington dc to philadelphia for december second," ""O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
show all connecting flights from pittsburgh to oakland," ""O O B-connect O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
list daily flights from boston to oakland using twa," ""O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_code"""," ""flight"""
i would like the least expensive airfare flight on sunday to pittsburgh from san francisco," ""O O O O B-cost_relative I-cost_relative O O O B-depart_date.day_name O B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name"""," ""airfare"""
i need a flight from san diego to indianapolis leaving in the afternoon on tuesday," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_time.period_of_day O B-depart_date.day_name"""," ""flight"""
can you give me the evening flight on wednesday from washington to atlanta again," ""O O O O O B-depart_time.period_of_day O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O"""," ""flight"""
i would like to book a flight from los angeles to pittsburgh on june first," ""O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
what flights from atlanta to washington," ""O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me all flights direct only from boston to san francisco or oakland that arrive before 10 am local time," ""O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or B-toloc.city_name O O B-arrive_time.time_relative O O O B-arrive_time.time"""," ""flight"""
first class round trip airfare from indianapolis to memphis," ""B-class_type I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
flights from cincinnati to denver on american airlines," ""O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name"""," ""flight"""
list all flights on continental leaving denver on sunday after 2134," ""O O O O B-airline_name O B-fromloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time"""," ""flight"""
show me all flights from charlotte," ""O O O O O B-fromloc.city_name"""," ""flight"""
show me all nationair flights from toronto," ""O O O B-airline_name O O B-fromloc.city_name"""," ""flight"""
what are the fares from newark to la monday and wednesday," ""O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name O B-depart_date.day_name"""," ""airfare"""
show me flights from denver to atlanta on june sixteenth," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
please show me round trip tickets from denver to oakland," ""O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
list all flights on united from san francisco to boston with fare code qx," ""O O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-fare_basis_code"""," ""flight"""
how many flights does twa have in business class," ""O O O O B-airline_code O O B-class_type I-class_type"""," ""quantity"""
list all flights going from boston to atlanta after 6 o'clock on wednesday and before 7 o'clock am on thursday," ""O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-depart_date.day_name"""," ""flight"""
show me the flights to love field," ""O O O O O B-toloc.airport_name I-toloc.airport_name"""," ""flight"""
show me flights from pittsburgh to philadelphia," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me the flights from philadelphia to atlanta," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
philadelphia to dallas arriving before 1 in the afternoon," ""B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time O O B-arrive_time.period_of_day"""," ""flight"""
i need a flight from tampa to montreal," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
please give me flights leaving san francisco and going to pittsburgh," ""O O O O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name"""," ""flight"""
what do you have from philadelphia to dallas on saturday morning," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
flight leaving from oakland to salt lake city," ""O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name"""," ""flight"""
tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth," ""O O O O O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number"""," ""flight"""
list all flights from boston to san francisco with the maximum number of stops," ""O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-flight_stop I-flight_stop I-flight_stop I-flight_stop"""," ""flight"""
are there any flights from atlanta to denver," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what are the flights dallas to boston on monday morning," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
show me flights leaving from denver colorado to pittsburgh pennsylvania on wednesdays after 5 pm," ""O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time"""," ""flight"""
i need flight information between atlanta and boston," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what are my choices of flights from las vegas to new york," ""O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
what is the cheapest flight from boston to san francisco," ""O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
on continental airlines any class service from san francisco to pittsburgh," ""O B-airline_name I-airline_name O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
find the cheapest flight from denver to atlanta with a stopover in pittsburgh," ""O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name"""," ""flight"""
what are the lowest one way fares from atlanta to denver," ""O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
are there any flights from boston to san francisco stopping in denver," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name"""," ""flight"""
flights from kansas city to cleveland on wednesday," ""O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
how much is a round trip fare from memphis to seattle," ""O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
show me the flights into love field," ""O O O O O B-toloc.airport_name I-toloc.airport_name"""," ""flight"""
i 'd like to fly from philadelphia to dallas through atlanta," ""O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name"""," ""flight"""
information on flights from pittsburgh to philadelphia," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what flights does american airlines fly from philadelphia to dallas," ""O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O B-return_date.date_relative O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O O O"""," ""flight"""
i would like the time of all flights from san francisco to pittsburgh on sunday," ""O O O O B-flight_time O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight_time"""
show me ground transportation in dallas please," ""O O O O O B-city_name O"""," ""ground_service"""
are there any nonstop flights leaving from denver arriving in baltimore on july seventh," ""O O O B-flight_stop O O O B-fromloc.city_name O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number"""," ""flight"""
how much does dl 746 cost," ""O O O B-airline_code B-flight_number O"""," ""airfare"""
what is the earliest flight from boston to san francisco on american airlines," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name"""," ""flight"""
please list ground transport in san francisco," ""O O O O O B-city_name I-city_name"""," ""ground_service"""
i need a flight from ontario to los angeles on a thursday," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.day_name"""," ""flight"""
show me flights from all airports to love field," ""O O O O O O O B-toloc.airport_name I-toloc.airport_name"""," ""flight"""
list the flights from pittsburgh to san francisco on thursday," ""O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name"""," ""flight"""
what flights are available from denver to baltimore first class on united airlines arriving may seventh before noon," ""O O O O O B-fromloc.city_name O B-toloc.city_name B-class_type I-class_type O B-airline_name I-airline_name O B-arrive_date.month_name B-arrive_date.day_number B-arrive_time.time_relative B-arrive_time.time"""," ""flight"""
which airlines are represented in the database," ""O O O O O O O"""," ""airline"""
which flight between pittsburgh and baltimore on july nineteenth has the smallest seating capacity," ""O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-mod O O"""," ""flight"""
list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am," ""O O B-airline_name I-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time"""," ""flight"""
what flights are there from new york city to las vegas," ""O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
is there ground transportation from san diego airport to the downtown area," ""O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O O"""," ""ground_service"""
shortest morning flights from cincinnati to tampa," ""B-flight_mod B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what 's the last flight from houston to dallas," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
is there a flight from charlotte to newark on tuesday evening," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
what is airline us," ""O O O B-airline_code"""," ""airline"""
what 's the lowest round trip fare from dallas to atlanta," ""O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
find me the earliest flight from boston to atlanta on any day of the week," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O O O O"""," ""flight"""
display all flights from boston to baltimore on july thirty first," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number"""," ""flight"""
economy fares new york to miami round trip," ""B-economy O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip"""," ""airfare"""
i need to fly from boston to denver on to san francisco and back," ""O O O O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name I-toloc.city_name O O"""," ""flight"""
i wish to book a flight from pittsburgh to atlanta coach discount fare," ""O O O O O O O B-fromloc.city_name O B-toloc.city_name B-class_type O O"""," ""flight"""
show me flights to dallas from san francisco and atlanta and pittsburgh," ""O O O O B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name O B-fromloc.city_name O B-fromloc.city_name"""," ""flight"""
tell me distance from orlando airport to the city," ""O O O O B-fromloc.airport_name I-fromloc.airport_name O O O"""," ""distance"""
hi i need to get a flight from memphis to salt lake city departing before 10 am," ""O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time"""," ""flight"""
what is the cheapest fare i can get from dallas to denver," ""O O O B-cost_relative O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
i would like a flight from philadelphia to dallas arrive dallas about 12 noon," ""O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time"""," ""flight"""
us air next wednesday from cleveland to miami," ""B-airline_name I-airline_name B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
could you please find me the cheapest one way fare from boston to philadelphia," ""O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
i 'd like a flight from detroit to st. petersburg for tuesday," ""O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name"""," ""flight"""
return from miami to new york on tower air on saturdays," ""O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O B-depart_date.day_name"""," ""flight"""
show me ground transportation in san francisco," ""O O O O O B-city_name I-city_name"""," ""ground_service"""
please give me the earliest flight tomorrow from st. petersburg to milwaukee," ""O O O O B-flight_mod O B-depart_date.today_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i need ground transportation in dallas please show me what 's available," ""O O O O O B-city_name O O O O O O"""," ""ground_service"""
what 's fare code yn," ""O O O O B-fare_basis_code"""," ""abbreviation"""
the cheapest flights from atlanta to philadelphia that arrive after 12 pm on a tuesday," ""O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_date.day_name"""," ""flight"""
is there an early morning delta airlines flight between boston and washington," ""O O O B-depart_time.period_of_day B-depart_time.period_of_day B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what flights from orlando to tacoma on saturday," ""O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7 pm," ""O O O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name I-toloc.city_name B-or B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time"""," ""flight"""
give me flights from chicago to seattle on saturday morning," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
okay tell me what the earliest flight is that leaves between atlanta and denver," ""O O O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i want a flight from toronto to montreal that leaves early friday morning," ""O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_mod B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
what first class flights are available from denver to baltimore on july twenty fifth 1991," ""O B-class_type I-class_type O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-depart_date.year"""," ""flight"""
show me the airlines from love field," ""O O O O O B-fromloc.airport_name I-fromloc.airport_name"""," ""airline"""
what 's the cheapest one way ticket from baltimore to atlanta," ""O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
a first class flight on american to san francisco on tuesday in the next week," ""O B-class_type I-class_type O O B-airline_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O O B-depart_date.date_relative O"""," ""flight"""
what airlines fly between boston and san francisco and stop in denver," ""O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name"""," ""airline"""
what 're the flights from new york city to las vegas that arrive on a sunday," ""O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name"""," ""flight"""
flights on friday from newark to tampa," ""O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
flights from san francisco august one," ""O O B-fromloc.city_name I-fromloc.city_name B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
how many stops on continental 1765 from boston to san francisco," ""O O O O B-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""quantity"""
on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between," ""O O B-airline_name I-airline_name B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-flight_time O O O O O O O O O"""," ""flight"""
i need a flight from st. petersburg to charlotte which will get me into charlotte by 5 pm or as soon thereafter as possible," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-or O O O O O"""," ""flight"""
i want a one way ticket from dallas to baltimore," ""O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
find me the latest flight leaving atlanta august seventh and arriving in denver," ""O O O B-flight_mod O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number O O O B-toloc.city_name"""," ""flight"""
what 's the lowest one way fare from pittsburgh to denver," ""O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
show me flights from los angeles to pittsburgh on monday evening," ""O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
show me the flights from san francisco to washington dc," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code"""," ""flight"""
show me flights from pittsburgh to philadelphia," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me the shortest flight from boston to denver which arrives in denver wednesday before noon," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time"""," ""flight"""
what are the flights from orlando to kansas city," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
show me flights from san francisco to boston on thursday," ""O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
sunday flights from new york city to las vegas," ""B-depart_date.day_name O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
i need a flight from pittsburgh to new york leaving at 5 pm," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time I-depart_time.time"""," ""flight"""
what 's the smallest plane that flies from pittsburgh to baltimore on eight sixteen," ""O O O B-mod O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time O"""," ""aircraft"""
give me the flights on december twenty seventh with the fares from indianapolis to orlando," ""O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me all the us air flights leaving pittsburgh between 12 and 4 in the afternoon," ""O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time O O B-depart_time.period_of_day"""," ""flight"""
i want a cheap from denver to atlanta," ""O O O B-flight_mod O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show all flights from miami to jfk," ""O O O O B-fromloc.city_name O B-toloc.airport_code"""," ""flight"""
show me all flights from san francisco to pittsburgh on a monday," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name"""," ""flight"""
show me the earliest flight from boston to denver," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i need a united airlines flight from denver to baltimore on saturday," ""O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
what are the cheapest one way flights from denver to atlanta," ""O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
all flights from boston to washington dc after 5 pm on november eleventh economy class," ""O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number B-economy I-economy"""," ""flight"""
is there ground transportation in oakland," ""O O O O O B-city_name"""," ""ground_service"""
list united flights from denver to san francisco on wednesdays," ""O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name"""," ""flight"""
what is the cheapest way to fly from denver to oakland," ""O O O B-cost_relative O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
philadelphia to san francisco with one stop in dallas please," ""B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name O"""," ""flight"""
i would like to fly us air from orlando to cleveland in the late evening what do you have available," ""O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_mod B-depart_time.period_of_day O O O O O"""," ""flight"""
what does restriction ap 57 mean," ""O O O B-restriction_code I-restriction_code O"""," ""abbreviation"""
what are the latest flights that i can take from baltimore to boston," ""O O O B-flight_mod O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
list flights from philadelphia to san francisco via dallas," ""O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name"""," ""flight"""
how much does the american airlines flight 71 from dallas to san francisco cost," ""O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O"""," ""airfare"""
all flights from boston to philadelphia which show up on tuesday afternoon," ""O O O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
show me flights from new york to miami on a tuesday with a round trip fare less than 466 dollars," ""O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O O B-round_trip I-round_trip O B-cost_relative O B-fare_amount I-fare_amount"""," ""flight"""
nonstop flights from seattle to denver," ""B-flight_stop O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
